,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10604,10604,12056,MOREE,-31.5939,119.1419,Jun,1929,Apr,2024,94.6,0,N,WA
10605,10605,53091,MOREE (BULLERANA),-29.3333,149.6,Jan,1898,Feb,1973,75.2,0,N,NSW
10606,10606,52006,MOREE (BUNNOR),-29.2813,149.3504,Nov,2002,Jan,2006,3.3,0,N,NSW
10607,10607,53071,MOREE (COURALLIE),-29.5833,149.6167,Jun,1967,Dec,1984,16.6,94,N,NSW
10608,10608,53072,MOREE (GUDGILDOOL),-29.4167,149.4833,Dec,1966,Sep,1976,9.6,97,N,NSW
10609,10609,52065,MOREE (KAMILAROI WEST),-29.6167,149.15,Sep,1966,Dec,1975,8.3,89,N,NSW
10610,10610,53070,MOREE (MALLOWA (NARBA)),-29.6202,149.377,Jan,1967,Nov,2023,56.5,99,N,NSW
10611,10611,53116,MOREE (OODNADATTA),-29.2732,150.0994,Jul,1994,Dec,2016,22.5,0,N,NSW
10612,10612,53038,MOREE (TALMOI),-29.25,149.5333,Jan,1912,Jan,1977,65.1,0,N,NSW
10613,10613,53115,MOREE AERO,-29.4898,149.8471,May,1995,Jun,2024,29.2,0,Y,NSW
10614,10614,53000,MOREE AUTOSONDE,-29.4917,149.8461,Jul,2000,Oct,2001,1.3,0,,NSW
10615,10615,53048,MOREE COMPARISON,-29.4819,149.8383,Sep,1960,Sep,1998,34.9,92,N,NSW
